semana_epi,edad_menor_5
2009-12-27,4715
2010-01-03,32867
2010-01-10,23642
2010-01-17,14916
2010-01-24,13776
2010-01-31,23732
2010-02-07,34758
2010-02-14,14072
2010-02-21,12473
2010-02-28,23140
2010-03-07,36701
2010-03-14,20967
2010-03-21,25495
2010-03-28,22029
2010-04-04,40310
2010-04-11,29404
2010-04-18,31334
2010-04-25,31049
2010-05-02,28853
2010-05-09,38194
2010-05-16,37794
2010-05-23,35836
2010-05-30,26860
2010-06-06,37876
2010-06-13,38304
2010-06-20,41726
2010-06-27,37179
2010-07-04,39167
2010-07-11,41392
2010-07-18,37417
2010-07-25,31020
2010-08-01,27963
2010-08-08,42044
2010-08-15,52790
2010-08-22,55002
2010-08-29,35595
2010-09-05,41225
2010-09-12,44963
2010-09-19,49514
2010-09-26,32025
2010-10-03,37643
2010-10-10,35184
2010-10-17,35154
2010-10-24,33249
2010-10-31,26352
2010-11-07,40826
2010-11-14,32501
2010-11-21,31907
2010-11-28,25140
2010-12-05,42389
2010-12-12,27505
2010-12-19,23789
2010-12-26,23062
2011-01-02,30557
2011-01-09,26844
2011-01-16,19168
2011-01-23,18227
2011-01-30,24356
2011-02-06,34227
2011-02-13,15739
2011-02-20,15136
2011-02-27,23549
2011-03-06,35197
2011-03-13,30839
2011-03-20,35631
2011-03-27,31019
2011-04-03,33676
2011-04-10,30840
2011-04-17,34523
2011-04-24,38231
2011-05-01,30556
2011-05-08,35949
2011-05-15,49056
2011-05-22,53631
2011-05-29,37613
2011-06-05,34850
2011-06-12,41176
2011-06-19,41988
2011-06-26,35006
2011-07-03,31828
2011-07-10,30240
2011-07-17,30684
2011-07-24,24748
2011-07-31,29268
2011-08-07,32131
2011-08-14,34613
2011-08-21,32009
2011-08-28,26555
2011-09-04,38544
2011-09-11,31794
2011-09-18,36895
2011-09-25,33562
2011-10-02,32562
2011-10-09,35772
2011-10-16,35294
2011-10-23,34527
2011-10-30,28583
2011-11-06,36138
2011-11-13,31392
2011-11-20,31358
2011-11-27,29565
2011-12-04,37895
2011-12-11,26723
2011-12-18,23631
2011-12-25,24030
2012-01-01,20776
2012-01-08,19103
2012-01-15,17382
2012-01-22,16288
2012-01-29,15128
2012-02-05,15150
2012-02-12,14141
2012-02-19,14475
2012-02-26,13843
2012-03-04,15036
2012-03-11,26303
2012-03-18,35091
2012-03-25,35099
2012-04-01,34293
2012-04-08,34092
2012-04-15,36131
2012-04-22,34334
2012-04-29,36450
2012-05-06,34228
2012-05-13,40342
2012-05-20,44983
2012-05-27,43366
2012-06-03,50462
2012-06-10,52386
2012-06-17,54991
2012-06-24,53670
2012-07-01,51480
2012-07-08,45098
2012-07-15,43460
2012-07-22,32269
2012-07-29,28003
2012-08-05,34627
2012-08-12,38144
2012-08-19,35539
2012-08-26,37022
2012-09-02,38021
2012-09-09,38684
2012-09-16,41892
2012-09-23,32369
2012-09-30,29564
2012-10-07,33320
2012-10-14,38051
2012-10-21,34594
2012-10-28,34988
2012-11-04,31495
2012-11-11,31579
2012-11-18,32091
2012-11-25,30845
2012-12-02,28493
2012-12-09,28323
2012-12-16,24883
2012-12-23,24748
2012-12-30,24128
2013-01-06,37423
2013-01-13,17283
2013-01-20,15877
2013-01-27,16983
2013-02-03,34816
2013-02-10,22941
2013-02-17,17166
2013-02-24,17225
2013-03-03,35057
2013-03-10,34891
2013-03-17,41045
2013-03-24,37129
2013-03-31,29185
2013-04-07,35819
2013-04-14,38854
2013-04-21,40186
2013-04-28,30523
2013-05-05,37737
2013-05-12,41090
2013-05-19,48204
2013-05-26,33418
2013-06-02,33926
2013-06-09,36150
2013-06-16,45197
2013-06-23,43415
2013-06-30,32622
2013-07-07,39079
2013-07-14,45198
2013-07-21,34172
2013-07-28,26028
2013-08-04,41826
2013-08-11,44238
2013-08-18,46421
2013-08-25,42730
2013-09-01,31568
2013-09-08,37249
2013-09-15,40886
2013-09-22,35957
2013-09-29,28637
2013-10-06,39068
2013-10-13,33705
2013-10-20,33147
2013-10-27,27698
2013-11-03,38377
2013-11-10,30572
2013-11-17,30799
2013-11-24,31039
2013-12-01,31887
2013-12-08,33441
2013-12-15,24874
2013-12-22,24058
2013-12-29,20537
2014-01-05,33438
2014-01-12,18379
2014-01-19,15769
2014-01-26,16206
2014-02-02,28930
2014-02-09,23117
2014-02-16,14437
2014-02-23,15183
2014-03-02,28274
2014-03-09,29429
2014-03-16,34734
2014-03-23,30853
2014-03-30,24977
2014-04-06,32233
2014-04-13,30542
2014-04-20,30753
2014-04-27,23609
2014-05-04,35872
2014-05-11,31123
2014-05-18,39117
2014-05-25,39286
2014-06-01,29260
2014-06-08,34407
2014-06-15,50900
2014-06-22,56290
2014-06-29,33302
2014-07-06,35701
2014-07-13,46124
2014-07-20,31343
2014-07-27,21682
2014-08-03,33701
2014-08-10,36083
2014-08-17,38535
2014-08-24,37338
2014-08-31,28719
2014-09-07,34214
2014-09-14,35322
2014-09-21,33724
2014-09-28,25966
2014-10-05,35421
2014-10-12,31208
2014-10-19,30173
2014-10-26,27124
2014-11-02,30113
2014-11-09,27991
2014-11-16,26276
2014-11-23,26071
2014-11-30,27113
2014-12-07,34543
2014-12-14,24492
2014-12-21,23553
2014-12-28,20590
2015-01-04,18344
2015-01-11,16461
2015-01-18,14933
2015-01-25,14188
2015-02-01,13675
2015-02-08,14335
2015-02-15,15023
2015-02-22,14788
2015-03-01,15323
2015-03-08,24285
2015-03-15,36176
2015-03-22,32959
2015-03-29,34372
2015-04-05,35091
2015-04-12,37447
2015-04-19,41184
2015-04-26,42328
2015-05-03,40740
2015-05-10,41146
2015-05-17,41230
2015-05-24,36609
2015-05-31,35320
2015-06-07,37146
2015-06-14,38720
2015-06-21,39215
2015-06-28,41945
2015-07-05,38320
2015-07-12,41445
2015-07-19,33633
2015-07-26,28012
2015-08-02,31621
2015-08-09,44362
2015-08-16,48295
2015-08-23,47665
2015-08-30,45581
2015-09-06,41280
2015-09-13,40706
2015-09-20,40115
2015-09-27,36510
2015-10-04,38426
2015-10-11,38766
2015-10-18,33827
2015-10-25,35324
2015-11-01,33280
2015-11-08,33271
2015-11-15,33140
2015-11-22,31465
2015-11-29,29097
2015-12-06,28316
2015-12-13,25012
2015-12-20,22968
2015-12-27,21292
2016-01-03,19257
2016-01-10,16863
2016-01-17,15396
2016-01-24,14298
2016-01-31,12658
2016-02-07,13380
2016-02-14,13627
2016-02-21,13462
