semana_epi,casos_total,edad_menor_5,edad_5_14,edad_15_64,edad_65_mas
2009-12-27,13047,4715,2327,5089,916
2010-01-03,99254,32867,22076,38584,5727
2010-01-10,67446,23642,13237,25875,4692
2010-01-17,42264,14916,6910,17432,3006
2010-01-24,40009,13776,7341,16078,2814
2010-01-31,66338,23732,12398,26143,4065
2010-02-07,106189,34758,23777,40896,6758
2010-02-14,43234,14072,6726,19497,2939
2010-02-21,38897,12473,5958,17659,2807
2010-02-28,64627,23140,12242,25371,3874
2010-03-07,108833,36701,24020,41182,6930
2010-03-14,60231,20967,12531,23239,3494
2010-03-21,76190,25495,16894,29554,4247
2010-03-28,64788,22029,12929,25831,3999
2010-04-04,122317,40310,28092,46472,7443
2010-04-11,83858,29404,17227,32372,4855
2010-04-18,88192,31334,18347,33886,4625
2010-04-25,87766,31049,18568,33151,4998
2010-05-02,81321,28853,17002,30674,4792
2010-05-09,115586,38194,26634,43722,7036
2010-05-16,100569,37794,21364,36361,5050
2010-05-23,100651,35836,21766,37891,5158
2010-05-30,75406,26860,15562,28795,4189
2010-06-06,116493,37876,27378,44381,6858
2010-06-13,101584,38304,21216,37113,4951
2010-06-20,105552,41726,22174,36576,5076
2010-06-27,93171,37179,19345,31734,4913
2010-07-04,119470,39167,27167,46151,6985
2010-07-11,100302,41392,18283,34990,5637
2010-07-18,95823,37417,13947,38337,6122
2010-07-25,88837,31020,14019,37405,6393
2010-08-01,75384,27963,14574,28370,4477
2010-08-08,131005,42044,31638,49378,7945
2010-08-15,181876,52790,54930,65079,9077
2010-08-22,200826,55002,60767,74962,10095
2010-08-29,123099,35595,34059,46808,6637
2010-09-05,122189,41225,28122,45837,7005
2010-09-12,156298,44963,34267,65751,11317
2010-09-19,181722,49514,35956,81762,14490
2010-09-26,113479,32025,24212,48492,8750
2010-10-03,108957,37643,24035,40949,6330
2010-10-10,100833,35184,19856,38804,6989
2010-10-17,104734,35154,22465,40285,6830
2010-10-24,95328,33249,21286,35065,5728
2010-10-31,72027,26352,13756,27727,4192
2010-11-07,118368,40826,26085,44243,7214
2010-11-14,89181,32501,19697,32057,4926
2010-11-21,86726,31907,19420,30626,4773
2010-11-28,70516,25140,15023,26289,4064
2010-12-05,125699,42389,28740,47501,7069
2010-12-12,72175,27505,14020,26039,4611
2010-12-19,63924,23789,11235,24745,4155
2010-12-26,63275,23062,11024,24923,4266
2011-01-02,85615,30557,16902,33092,5064
2011-01-09,76831,26844,15042,29919,5026
2011-01-16,55507,19168,10080,22575,3684
2011-01-23,53474,18227,10134,21623,3490
2011-01-30,69597,24356,13223,27628,4390
2011-02-06,98441,34227,20098,37936,6180
2011-02-13,49823,15739,8724,22018,3342
2011-02-20,49641,15136,8040,23014,3451
2011-02-27,69600,23549,13206,28624,4221
2011-03-06,100830,35197,20429,38686,6518
2011-03-13,90692,30839,21096,34497,4260
2011-03-20,104251,35631,22384,41068,5168
2011-03-27,91460,31019,18150,37329,4962
2011-04-03,96501,33676,19374,37878,5573
2011-04-10,83976,30840,16896,31310,4930
2011-04-17,87115,34523,17487,30714,4391
2011-04-24,95327,38231,19635,32582,4879
2011-05-01,85286,30556,16842,32958,4930
2011-05-08,98650,35949,20456,36313,5932
2011-05-15,119032,49056,26320,38449,5207
2011-05-22,129099,53631,28285,41410,5773
2011-05-29,98249,37613,20872,34730,5034
2011-06-05,101353,34850,20957,39414,6132
2011-06-12,108835,41176,23221,38573,5865
2011-06-19,110924,41988,23402,39253,6281
2011-06-26,98118,35006,19824,37172,6116
2011-07-03,92978,31828,18484,36965,5701
2011-07-10,87624,30240,15769,35767,5848
2011-07-17,97458,30684,13907,45795,7072
2011-07-24,88544,24748,13625,43398,6773
2011-07-31,81769,29268,15590,32047,4864
2011-08-07,97026,32131,19553,39122,6220
2011-08-14,112322,34613,22805,47903,7001
2011-08-21,106593,32009,21902,45778,6904
2011-08-28,87859,26555,18644,37150,5510
2011-09-04,106102,38544,21120,40032,6406
2011-09-11,88260,31794,17159,33747,5560
2011-09-18,105590,36895,20465,41237,6993
2011-09-25,96612,33562,19916,36852,6282
2011-10-02,92059,32562,17973,36109,5415
2011-10-09,96928,35772,19266,35529,6361
2011-10-16,99119,35294,21219,36424,6182
2011-10-23,96247,34527,20758,35139,5823
2011-10-30,77451,28583,15295,28823,4750
2011-11-06,102468,36138,20764,39266,6300
2011-11-13,88434,31392,19399,32391,5252
2011-11-20,88689,31358,19359,32902,5070
2011-11-27,79702,29565,16658,29054,4425
2011-12-04,104903,37895,21843,39282,5883
2011-12-11,74936,26723,14550,28659,5004
2011-12-18,66962,23631,12353,26734,4244
2011-12-25,68658,24030,11246,28744,4638
2012-01-01,63522,20776,10949,27400,4397
2012-01-08,58122,19103,10016,24841,4162
2012-01-15,53435,17382,9196,23096,3761
2012-01-22,52461,16288,8801,23630,3742
2012-01-29,49712,15128,8380,22526,3678
2012-02-05,50904,15150,8363,23700,3691
2012-02-12,48954,14141,7957,23132,3724
2012-02-19,50694,14475,7969,24470,3780
2012-02-26,49523,13843,7575,24327,3778
2012-03-04,52530,15036,9343,24350,3801
2012-03-11,78788,26303,17774,30653,4058
2012-03-18,99535,35091,21977,37641,4826
2012-03-25,100990,35099,20389,40096,5406
2012-04-01,95362,34293,17854,37912,5303
2012-04-08,96889,34092,18430,38744,5623
2012-04-15,100663,36131,20144,38820,5568
2012-04-22,95553,34334,19959,36026,5234
2012-04-29,100559,36450,19684,38685,5740
2012-05-06,96509,34228,19361,37439,5481
2012-05-13,111299,40342,24071,41218,5668
2012-05-20,126426,44983,27176,47718,6549
2012-05-27,124299,43366,27901,45907,7125
2012-06-03,139703,50462,31677,50339,7225
2012-06-10,150786,52386,34556,55543,8301
2012-06-17,157105,54991,36374,57059,8681
2012-06-24,153160,53670,35180,55335,8975
2012-07-01,143382,51480,28091,54611,9200
2012-07-08,133717,45098,22569,55980,10070
2012-07-15,129679,43460,18138,56822,11259
2012-07-22,105461,32269,14589,49044,9559
2012-07-29,96416,28003,16251,43790,8372
2012-08-05,111853,34627,23335,45925,7966
2012-08-12,123122,38144,28152,48720,8106
2012-08-19,118596,35539,27034,48245,7778
2012-08-26,123140,37022,28184,49234,8700
2012-09-02,121314,38021,27533,47529,8231
2012-09-09,119388,38684,26389,46286,8029
2012-09-16,125147,41892,22698,51134,9423
2012-09-23,110737,32369,20457,48942,8969
2012-09-30,100076,29564,21960,41425,7127
2012-10-07,108968,33320,26014,42374,7260
2012-10-14,119839,38051,27758,46453,7577
2012-10-21,111411,34594,25020,44453,7344
2012-10-28,109041,34988,23323,42955,7775
2012-11-04,105672,31495,23732,43420,7025
2012-11-11,103869,31579,24925,40755,6610
2012-11-18,101101,32091,24124,38968,5918
2012-11-25,96704,30845,22655,37319,5885
2012-12-02,89039,28493,20692,34370,5484
2012-12-09,85752,28323,18161,33678,5590
2012-12-16,75218,24883,14423,30769,5143
2012-12-23,76200,24748,12254,33253,5945
2012-12-30,72365,24128,13043,29974,5220
2013-01-06,117322,37423,25384,46562,7953
2013-01-13,54858,17283,9911,23151,4513
2013-01-20,51708,15877,9404,22493,3934
2013-01-27,54076,16983,9317,23612,4164
2013-02-03,108934,34816,22456,44836,6826
2013-02-10,73470,22941,15093,30130,5306
2013-02-17,58520,17166,9804,27223,4327
2013-02-24,59860,17225,9615,28506,4514
2013-03-03,109284,35057,22192,45077,6958
2013-03-10,107136,34891,24461,41422,6362
2013-03-17,122992,41045,27964,47930,6053
2013-03-24,110683,37129,21848,45004,6702
2013-03-31,91137,29185,17130,38910,5912
2013-04-07,108566,35819,22447,43002,7298
2013-04-14,107526,38854,22014,40549,6109
2013-04-21,108296,40186,22947,39381,5782
2013-04-28,87883,30523,17565,34364,5431
2013-05-05,116150,37737,24517,46422,7474
2013-05-12,123182,41090,27241,48790,6061
2013-05-19,146926,48204,29960,60867,7895
2013-05-26,111479,33418,22514,49185,6362
2013-06-02,103991,33926,20600,43039,6426
2013-06-09,113238,36150,24105,45567,7416
2013-06-16,146804,45197,32856,61102,7649
2013-06-23,139173,43415,29861,57734,8163
2013-06-30,98495,32622,19268,40525,6080
2013-07-07,116991,39079,23254,46422,8236
2013-07-14,125341,45198,17055,53627,9461
2013-07-21,104465,34172,15192,46662,8439
2013-07-28,83035,26028,14688,35858,6461
2013-08-04,125545,41826,26221,49692,7806
2013-08-11,122242,44238,25667,44224,8113
2013-08-18,136266,46421,30353,50880,8612
2013-08-25,129052,42730,29245,48328,8749
2013-09-01,97728,31568,18957,41114,6089
2013-09-08,109545,37249,23174,41393,7729
2013-09-15,112820,40886,19795,43518,8621
2013-09-22,119947,35957,22745,51540,9705
2013-09-29,89519,28637,18483,36381,6018
2013-10-06,118935,39068,25477,46799,7591
2013-10-13,109832,33705,26503,42226,7398
2013-10-20,106861,33147,25251,41439,7024
2013-10-27,87903,27698,19513,34434,6258
2013-11-03,113006,38377,23261,44608,6760
2013-11-10,95052,30572,20997,36862,6621
2013-11-17,96310,30799,22021,37026,6464
2013-11-24,92271,31039,21179,33919,6134
2013-12-01,96746,31887,19303,39456,6100
2013-12-08,101120,33441,22715,38269,6695
2013-12-15,73237,24874,14466,28628,5269
2013-12-22,70280,24058,12220,28718,5284
2013-12-29,63845,20537,11177,27212,4919
2014-01-05,107943,33438,23455,43632,7418
2014-01-12,58545,18379,11075,24634,4457
2014-01-19,51473,15769,9217,22488,3999
2014-01-26,53405,16206,9073,23999,4127
2014-02-02,93071,28930,18316,39259,6566
2014-02-09,75895,23117,16227,31124,5427
