semana_epi,casos_total
2009-12-27,13047
2010-01-03,99254
2010-01-10,67446
2010-01-17,42264
2010-01-24,40009
2010-01-31,66338
2010-02-07,106189
2010-02-14,43234
2010-02-21,38897
2010-02-28,64627
2010-03-07,108833
2010-03-14,60231
2010-03-21,76190
2010-03-28,64788
2010-04-04,122317
2010-04-11,83858
2010-04-18,88192
2010-04-25,87766
2010-05-02,81321
2010-05-09,115586
2010-05-16,100569
2010-05-23,100651
2010-05-30,75406
2010-06-06,116493
2010-06-13,101584
2010-06-20,105552
2010-06-27,93171
2010-07-04,119470
2010-07-11,100302
2010-07-18,95823
2010-07-25,88837
2010-08-01,75384
2010-08-08,131005
2010-08-15,181876
2010-08-22,200826
2010-08-29,123099
2010-09-05,122189
2010-09-12,156298
2010-09-19,181722
2010-09-26,113479
2010-10-03,108957
2010-10-10,100833
2010-10-17,104734
2010-10-24,95328
2010-10-31,72027
2010-11-07,118368
2010-11-14,89181
2010-11-21,86726
2010-11-28,70516
2010-12-05,125699
2010-12-12,72175
2010-12-19,63924
2010-12-26,63275
2011-01-02,85615
2011-01-09,76831
2011-01-16,55507
2011-01-23,53474
2011-01-30,69597
2011-02-06,98441
2011-02-13,49823
2011-02-20,49641
2011-02-27,69600
2011-03-06,100830
2011-03-13,90692
2011-03-20,104251
2011-03-27,91460
2011-04-03,96501
2011-04-10,83976
2011-04-17,87115
2011-04-24,95327
2011-05-01,85286
2011-05-08,98650
2011-05-15,119032
2011-05-22,129099
2011-05-29,98249
2011-06-05,101353
2011-06-12,108835
2011-06-19,110924
2011-06-26,98118
2011-07-03,92978
2011-07-10,87624
2011-07-17,97458
2011-07-24,88544
2011-07-31,81769
2011-08-07,97026
2011-08-14,112322
2011-08-21,106593
2011-08-28,87859
2011-09-04,106102
2011-09-11,88260
2011-09-18,105590
2011-09-25,96612
2011-10-02,92059
2011-10-09,96928
2011-10-16,99119
2011-10-23,96247
2011-10-30,77451
2011-11-06,102468
2011-11-13,88434
2011-11-20,88689
2011-11-27,79702
2011-12-04,104903
2011-12-11,74936
2011-12-18,66962
2011-12-25,68658
2012-01-01,63522
2012-01-08,58122
2012-01-15,53435
2012-01-22,52461
2012-01-29,49712
2012-02-05,50904
2012-02-12,48954
2012-02-19,50694
2012-02-26,49523
2012-03-04,52530
2012-03-11,78788
2012-03-18,99535
2012-03-25,100990
2012-04-01,95362
2012-04-08,96889
2012-04-15,100663
2012-04-22,95553
2012-04-29,100559
2012-05-06,96509
2012-05-13,111299
2012-05-20,126426
2012-05-27,124299
2012-06-03,139703
2012-06-10,150786
2012-06-17,157105
2012-06-24,153160
2012-07-01,143382
2012-07-08,133717
2012-07-15,129679
2012-07-22,105461
2012-07-29,96416
2012-08-05,111853
2012-08-12,123122
2012-08-19,118596
2012-08-26,123140
2012-09-02,121314
2012-09-09,119388
2012-09-16,125147
2012-09-23,110737
2012-09-30,100076
2012-10-07,108968
2012-10-14,119839
2012-10-21,111411
2012-10-28,109041
2012-11-04,105672
2012-11-11,103869
2012-11-18,101101
2012-11-25,96704
2012-12-02,89039
2012-12-09,85752
2012-12-16,75218
2012-12-23,76200
2012-12-30,72365
2013-01-06,117322
2013-01-13,54858
2013-01-20,51708
2013-01-27,54076
2013-02-03,108934
2013-02-10,73470
2013-02-17,58520
2013-02-24,59860
2013-03-03,109284
2013-03-10,107136
2013-03-17,122992
2013-03-24,110683
2013-03-31,91137
2013-04-07,108566
2013-04-14,107526
2013-04-21,108296
2013-04-28,87883
2013-05-05,116150
2013-05-12,123182
2013-05-19,146926
2013-05-26,111479
2013-06-02,103991
2013-06-09,113238
2013-06-16,146804
2013-06-23,139173
2013-06-30,98495
2013-07-07,116991
2013-07-14,125341
2013-07-21,104465
2013-07-28,83035
2013-08-04,125545
2013-08-11,122242
2013-08-18,136266
2013-08-25,129052
2013-09-01,97728
2013-09-08,109545
2013-09-15,112820
2013-09-22,119947
2013-09-29,89519
2013-10-06,118935
2013-10-13,109832
2013-10-20,106861
2013-10-27,87903
2013-11-03,113006
2013-11-10,95052
2013-11-17,96310
2013-11-24,92271
2013-12-01,96746
2013-12-08,101120
2013-12-15,73237
2013-12-22,70280
2013-12-29,63845
2014-01-05,107943
2014-01-12,58545
2014-01-19,51473
2014-01-26,53405
2014-02-02,93071
2014-02-09,75895
2014-02-16,51427
2014-02-23,53948
2014-03-02,91293
2014-03-09,91432
2014-03-16,109017
2014-03-23,98808
2014-03-30,79624
2014-04-06,102846
2014-04-13,93266
2014-04-20,96915
2014-04-27,74762
2014-05-04,112219
2014-05-11,92099
2014-05-18,111251
2014-05-25,117659
2014-06-01,92212
2014-06-08,103697
2014-06-15,153963
2014-06-22,169877
2014-06-29,107755
2014-07-06,110562
2014-07-13,141168
2014-07-20,102604
2014-07-27,78463
2014-08-03,106940
2014-08-10,101547
2014-08-17,111954
2014-08-24,111981
2014-08-31,88148
2014-09-07,106410
2014-09-14,103813
2014-09-21,113958
2014-09-28,88196
2014-10-05,108679
2014-10-12,100698
2014-10-19,96738
2014-10-26,85373
2014-11-02,93731
2014-11-09,86384
2014-11-16,80492
2014-11-23,78612
2014-11-30,83459
2014-12-07,104777
2014-12-14,70879
2014-12-21,69080
2014-12-28,64485
2015-01-04,59795
2015-01-11,53299
2015-01-18,49788
2015-01-25,48305
2015-02-01,48696
2015-02-08,51670
2015-02-15,56201
2015-02-22,56930
2015-03-01,59620
2015-03-08,80576
2015-03-15,110303
