semana_epi,edad_15_64
2009-12-27,5089
2010-01-03,38584
2010-01-10,25875
2010-01-17,17432
2010-01-24,16078
2010-01-31,26143
2010-02-07,40896
2010-02-14,19497
2010-02-21,17659
2010-02-28,25371
2010-03-07,41182
2010-03-14,23239
2010-03-21,29554
2010-03-28,25831
2010-04-04,46472
2010-04-11,32372
2010-04-18,33886
2010-04-25,33151
2010-05-02,30674
2010-05-09,43722
2010-05-16,36361
2010-05-23,37891
2010-05-30,28795
2010-06-06,44381
2010-06-13,37113
2010-06-20,36576
2010-06-27,31734
2010-07-04,46151
2010-07-11,34990
2010-07-18,38337
2010-07-25,37405
2010-08-01,28370
2010-08-08,49378
2010-08-15,65079
2010-08-22,74962
2010-08-29,46808
2010-09-05,45837
2010-09-12,65751
2010-09-19,81762
2010-09-26,48492
2010-10-03,40949
2010-10-10,38804
2010-10-17,40285
2010-10-24,35065
2010-10-31,27727
2010-11-07,44243
2010-11-14,32057
2010-11-21,30626
2010-11-28,26289
2010-12-05,47501
2010-12-12,26039
2010-12-19,24745
2010-12-26,24923
2011-01-02,33092
2011-01-09,29919
2011-01-16,22575
2011-01-23,21623
2011-01-30,27628
2011-02-06,37936
2011-02-13,22018
2011-02-20,23014
2011-02-27,28624
2011-03-06,38686
2011-03-13,34497
2011-03-20,41068
2011-03-27,37329
2011-04-03,37878
2011-04-10,31310
2011-04-17,30714
2011-04-24,32582
2011-05-01,32958
2011-05-08,36313
2011-05-15,38449
2011-05-22,41410
2011-05-29,34730
2011-06-05,39414
2011-06-12,38573
2011-06-19,39253
2011-06-26,37172
2011-07-03,36965
2011-07-10,35767
2011-07-17,45795
2011-07-24,43398
2011-07-31,32047
2011-08-07,39122
2011-08-14,47903
2011-08-21,45778
2011-08-28,37150
2011-09-04,40032
2011-09-11,33747
2011-09-18,41237
2011-09-25,36852
2011-10-02,36109
2011-10-09,35529
2011-10-16,36424
2011-10-23,35139
2011-10-30,28823
2011-11-06,39266
2011-11-13,32391
2011-11-20,32902
2011-11-27,29054
2011-12-04,39282
2011-12-11,28659
2011-12-18,26734
2011-12-25,28744
2012-01-01,27400
2012-01-08,24841
2012-01-15,23096
2012-01-22,23630
2012-01-29,22526
2012-02-05,23700
2012-02-12,23132
2012-02-19,24470
2012-02-26,24327
2012-03-04,24350
2012-03-11,30653
2012-03-18,37641
2012-03-25,40096
2012-04-01,37912
2012-04-08,38744
2012-04-15,38820
2012-04-22,36026
2012-04-29,38685
2012-05-06,37439
2012-05-13,41218
2012-05-20,47718
2012-05-27,45907
2012-06-03,50339
2012-06-10,55543
2012-06-17,57059
2012-06-24,55335
2012-07-01,54611
2012-07-08,55980
2012-07-15,56822
2012-07-22,49044
2012-07-29,43790
2012-08-05,45925
2012-08-12,48720
2012-08-19,48245
2012-08-26,49234
2012-09-02,47529
2012-09-09,46286
2012-09-16,51134
2012-09-23,48942
2012-09-30,41425
2012-10-07,42374
2012-10-14,46453
2012-10-21,44453
2012-10-28,42955
2012-11-04,43420
2012-11-11,40755
2012-11-18,38968
2012-11-25,37319
2012-12-02,34370
2012-12-09,33678
2012-12-16,30769
2012-12-23,33253
2012-12-30,29974
2013-01-06,46562
2013-01-13,23151
2013-01-20,22493
2013-01-27,23612
2013-02-03,44836
2013-02-10,30130
2013-02-17,27223
2013-02-24,28506
2013-03-03,45077
2013-03-10,41422
2013-03-17,47930
2013-03-24,45004
2013-03-31,38910
2013-04-07,43002
2013-04-14,40549
2013-04-21,39381
2013-04-28,34364
2013-05-05,46422
2013-05-12,48790
2013-05-19,60867
2013-05-26,49185
2013-06-02,43039
2013-06-09,45567
2013-06-16,61102
2013-06-23,57734
2013-06-30,40525
2013-07-07,46422
2013-07-14,53627
2013-07-21,46662
2013-07-28,35858
2013-08-04,49692
2013-08-11,44224
2013-08-18,50880
2013-08-25,48328
2013-09-01,41114
2013-09-08,41393
2013-09-15,43518
2013-09-22,51540
2013-09-29,36381
2013-10-06,46799
2013-10-13,42226
2013-10-20,41439
2013-10-27,34434
2013-11-03,44608
2013-11-10,36862
2013-11-17,37026
2013-11-24,33919
2013-12-01,39456
2013-12-08,38269
2013-12-15,28628
2013-12-22,28718
2013-12-29,27212
2014-01-05,43632
2014-01-12,24634
2014-01-19,22488
2014-01-26,23999
2014-02-02,39259
2014-02-09,31124
2014-02-16,24894
2014-02-23,26111
2014-03-02,39130
2014-03-09,35295
2014-03-16,43632
2014-03-23,42122
2014-03-30,34705
2014-04-06,41530
2014-04-13,39546
2014-04-20,41257
2014-04-27,32030
2014-05-04,45345
2014-05-11,36452
2014-05-18,43240
2014-05-25,46540
2014-06-01,38691
2014-06-08,40065
2014-06-15,59267
2014-06-22,63526
2014-06-29,43684
2014-07-06,43118
2014-07-13,61092
2014-07-20,48174
2014-07-27,36977
2014-08-03,44236
2014-08-10,37171
2014-08-17,41319
2014-08-24,41935
2014-08-31,35452
2014-09-07,42682
2014-09-14,41395
2014-09-21,49392
2014-09-28,36701
2014-10-05,43252
2014-10-12,39347
2014-10-19,37152
2014-10-26,32792
2014-11-02,38681
2014-11-09,33951
2014-11-16,30666
2014-11-23,29902
2014-11-30,34248
2014-12-07,40915
2014-12-14,27889
2014-12-21,28730
2014-12-28,28203
2015-01-04,26437
2015-01-11,23355
2015-01-18,21995
2015-01-25,21776
2015-02-01,22585
2015-02-08,24421
2015-02-15,27607
2015-02-22,28788
2015-03-01,29842
2015-03-08,33592
2015-03-15,42781
2015-03-22,39517
2015-03-29,37827
2015-04-05,36911
2015-04-12,36734
2015-04-19,40036
2015-04-26,39851
2015-05-03,44438
2015-05-10,44109
2015-05-17,43521
2015-05-24,45235
2015-05-31,43834
2015-06-07,43567
2015-06-14,45820
2015-06-21,47170
2015-06-28,47189
2015-07-05,47583
2015-07-12,45885
2015-07-19,48651
2015-07-26,45490
2015-08-02,46651
2015-08-09,57326
2015-08-16,66819
2015-08-23,67618
2015-08-30,62905
2015-09-06,58307
2015-09-13,56230
2015-09-20,63627
2015-09-27,52268
2015-10-04,51093
2015-10-11,53834
2015-10-18,49789
2015-10-25,45056
2015-11-01,44382
2015-11-08,42203
2015-11-15,42713
2015-11-22,40569
2015-11-29,37093
2015-12-06,35703
2015-12-13,32308
2015-12-20,31441
2015-12-27,30193
2016-01-03,29237
2016-01-10,25039
2016-01-17,23917
2016-01-24,23663
2016-01-31,22057
2016-02-07,23607
2016-02-14,25328
2016-02-21,25789
2016-02-28,26000
2016-03-06,29745
2016-03-13,40482
2016-03-20,46180
2016-03-27,42906
2016-04-03,41519
2016-04-10,40593
2016-04-17,37378
2016-04-24,40931
2016-05-01,41409
2016-05-08,42800
2016-05-15,43384
2016-05-22,45511
2016-05-29,42325
2016-06-05,48427
2016-06-12,51680
2016-06-19,57436
