semana_epi,edad_65_mas
2009-12-27,916
2010-01-03,5727
2010-01-10,4692
2010-01-17,3006
2010-01-24,2814
2010-01-31,4065
2010-02-07,6758
2010-02-14,2939
2010-02-21,2807
2010-02-28,3874
2010-03-07,6930
2010-03-14,3494
2010-03-21,4247
2010-03-28,3999
2010-04-04,7443
2010-04-11,4855
2010-04-18,4625
2010-04-25,4998
2010-05-02,4792
2010-05-09,7036
2010-05-16,5050
2010-05-23,5158
2010-05-30,4189
2010-06-06,6858
2010-06-13,4951
2010-06-20,5076
2010-06-27,4913
2010-07-04,6985
2010-07-11,5637
2010-07-18,6122
2010-07-25,6393
2010-08-01,4477
2010-08-08,7945
2010-08-15,9077
2010-08-22,10095
2010-08-29,6637
2010-09-05,7005
2010-09-12,11317
2010-09-19,14490
2010-09-26,8750
2010-10-03,6330
2010-10-10,6989
2010-10-17,6830
2010-10-24,5728
2010-10-31,4192
2010-11-07,7214
2010-11-14,4926
2010-11-21,4773
2010-11-28,4064
2010-12-05,7069
2010-12-12,4611
2010-12-19,4155
2010-12-26,4266
2011-01-02,5064
2011-01-09,5026
2011-01-16,3684
2011-01-23,3490
2011-01-30,4390
2011-02-06,6180
2011-02-13,3342
2011-02-20,3451
2011-02-27,4221
2011-03-06,6518
2011-03-13,4260
2011-03-20,5168
2011-03-27,4962
2011-04-03,5573
2011-04-10,4930
2011-04-17,4391
2011-04-24,4879
2011-05-01,4930
2011-05-08,5932
2011-05-15,5207
2011-05-22,5773
2011-05-29,5034
2011-06-05,6132
2011-06-12,5865
2011-06-19,6281
2011-06-26,6116
2011-07-03,5701
2011-07-10,5848
2011-07-17,7072
2011-07-24,6773
2011-07-31,4864
2011-08-07,6220
2011-08-14,7001
2011-08-21,6904
2011-08-28,5510
2011-09-04,6406
2011-09-11,5560
2011-09-18,6993
2011-09-25,6282
2011-10-02,5415
2011-10-09,6361
2011-10-16,6182
2011-10-23,5823
2011-10-30,4750
2011-11-06,6300
2011-11-13,5252
2011-11-20,5070
2011-11-27,4425
2011-12-04,5883
2011-12-11,5004
2011-12-18,4244
2011-12-25,4638
2012-01-01,4397
2012-01-08,4162
2012-01-15,3761
2012-01-22,3742
2012-01-29,3678
2012-02-05,3691
2012-02-12,3724
2012-02-19,3780
2012-02-26,3778
2012-03-04,3801
2012-03-11,4058
2012-03-18,4826
2012-03-25,5406
2012-04-01,5303
2012-04-08,5623
2012-04-15,5568
2012-04-22,5234
2012-04-29,5740
2012-05-06,5481
2012-05-13,5668
2012-05-20,6549
2012-05-27,7125
2012-06-03,7225
2012-06-10,8301
2012-06-17,8681
2012-06-24,8975
2012-07-01,9200
2012-07-08,10070
2012-07-15,11259
2012-07-22,9559
2012-07-29,8372
2012-08-05,7966
2012-08-12,8106
2012-08-19,7778
2012-08-26,8700
2012-09-02,8231
2012-09-09,8029
2012-09-16,9423
2012-09-23,8969
2012-09-30,7127
2012-10-07,7260
2012-10-14,7577
2012-10-21,7344
2012-10-28,7775
2012-11-04,7025
2012-11-11,6610
2012-11-18,5918
2012-11-25,5885
2012-12-02,5484
2012-12-09,5590
2012-12-16,5143
2012-12-23,5945
2012-12-30,5220
2013-01-06,7953
2013-01-13,4513
2013-01-20,3934
2013-01-27,4164
2013-02-03,6826
2013-02-10,5306
2013-02-17,4327
2013-02-24,4514
2013-03-03,6958
2013-03-10,6362
2013-03-17,6053
2013-03-24,6702
2013-03-31,5912
2013-04-07,7298
2013-04-14,6109
2013-04-21,5782
2013-04-28,5431
2013-05-05,7474
2013-05-12,6061
2013-05-19,7895
2013-05-26,6362
2013-06-02,6426
2013-06-09,7416
2013-06-16,7649
2013-06-23,8163
2013-06-30,6080
2013-07-07,8236
2013-07-14,9461
2013-07-21,8439
2013-07-28,6461
2013-08-04,7806
2013-08-11,8113
2013-08-18,8612
2013-08-25,8749
2013-09-01,6089
2013-09-08,7729
2013-09-15,8621
2013-09-22,9705
2013-09-29,6018
2013-10-06,7591
2013-10-13,7398
2013-10-20,7024
2013-10-27,6258
2013-11-03,6760
2013-11-10,6621
2013-11-17,6464
2013-11-24,6134
2013-12-01,6100
2013-12-08,6695
2013-12-15,5269
2013-12-22,5284
2013-12-29,4919
2014-01-05,7418
2014-01-12,4457
2014-01-19,3999
2014-01-26,4127
2014-02-02,6566
2014-02-09,5427
2014-02-16,4061
2014-02-23,4378
2014-03-02,6561
2014-03-09,5847
2014-03-16,5775
2014-03-23,5877
2014-03-30,5530
2014-04-06,7213
2014-04-13,6096
2014-04-20,6219
2014-04-27,5148
2014-05-04,7964
2014-05-11,6071
2014-05-18,6396
2014-05-25,7059
2014-06-01,6366
2014-06-08,7419
2014-06-15,8910
2014-06-22,10131
2014-06-29,6947
2014-07-06,7776
2014-07-13,13056
2014-07-20,10827
2014-07-27,8006
2014-08-03,7245
2014-08-10,7380
2014-08-17,7640
2014-08-24,7787
2014-08-31,5825
2014-09-07,7635
2014-09-14,8373
2014-09-21,8883
2014-09-28,6507
2014-10-05,7662
2014-10-12,6761
2014-10-19,6802
2014-10-26,6158
2014-11-02,6247
2014-11-09,6227
2014-11-16,5363
2014-11-23,5263
2014-11-30,5282
2014-12-07,7636
2014-12-14,5017
2014-12-21,5391
2014-12-28,5524
2015-01-04,5025
2015-01-11,4407
2015-01-18,4130
2015-01-25,4041
2015-02-01,3999
2015-02-08,4295
2015-02-15,4623
2015-02-22,4894
2015-03-01,5214
2015-03-08,5424
2015-03-15,6342
2015-03-22,6677
2015-03-29,6758
2015-04-05,6449
2015-04-12,6020
2015-04-19,6285
2015-04-26,6686
2015-05-03,6846
2015-05-10,7205
2015-05-17,7306
2015-05-24,7386
2015-05-31,7238
2015-06-07,7393
2015-06-14,7712
2015-06-21,8418
2015-06-28,8904
2015-07-05,8658
2015-07-12,8802
2015-07-19,9633
2015-07-26,9016
2015-08-02,8058
2015-08-09,9285
2015-08-16,10887
2015-08-23,11540
2015-08-30,11554
2015-09-06,10318
2015-09-13,10417
2015-09-20,11777
2015-09-27,10489
2015-10-04,9064
2015-10-11,9582
2015-10-18,8894
2015-10-25,8246
2015-11-01,7866
2015-11-08,7401
2015-11-15,6993
2015-11-22,6733
2015-11-29,6642
2015-12-06,6287
2015-12-13,5702
2015-12-20,5485
2015-12-27,5596
2016-01-03,5416
2016-01-10,4534
2016-01-17,4318
2016-01-24,4274
2016-01-31,4107
2016-02-07,4179
2016-02-14,4296
2016-02-21,4561
2016-02-28,4363
2016-03-06,4806
2016-03-13,5653
2016-03-20,6711
2016-03-27,6892
2016-04-03,6502
2016-04-10,6271
2016-04-17,5949
2016-04-24,6528
2016-05-01,6640
2016-05-08,6842
2016-05-15,6986
2016-05-22,7706
2016-05-29,7328
2016-06-05,8269
2016-06-12,8774
2016-06-19,9783
2016-06-26,11527
2016-07-03,12372
2016-07-10,12359
2016-07-17,13614
2016-07-24,13192
2016-07-31,12261
2016-08-07,11838
2016-08-14,12494
2016-08-21,11463
2016-08-28,11113
2016-09-04,11206
2016-09-11,10339
2016-09-18,11463
2016-09-25,10165
2016-10-02,8754
2016-10-09,8882
2016-10-16,7729
2016-10-23,7658
2016-10-30,7794
2016-11-06,6994
2016-11-13,6214
2016-11-20,6079
2016-11-27,5787
2016-12-04,5959
2016-12-11,5609
2016-12-18,5276
2016-12-25,5439
2017-01-01,5662
2017-01-08,4978
2017-01-15,4475
2017-01-22,4568
2017-01-29,4582
2017-02-05,4461
2017-02-12,4411
2017-02-19,4447
2017-02-26,4455
2017-03-05,4784
2017-03-12,5767
2017-03-19,6801
2017-03-26,7212
2017-04-02,7136
2017-04-09,7340
2017-04-16,7170
2017-04-23,6859
2017-04-30,7278
2017-05-07,7006
2017-05-14,7497
2017-05-21,10017
2017-05-28,11846
2017-06-04,13653
2017-06-11,13534
2017-06-18,13453
2017-06-25,14479
2017-07-02,11774
2017-07-09,11065
2017-07-16,11628
2017-07-23,10705
2017-07-30,9871
2017-08-06,9190
2017-08-13,10496
2017-08-20,10156
2017-08-27,9736
2017-09-03,9622
2017-09-10,9746
2017-09-17,11785
2017-09-24,10370
2017-10-01,8643
2017-10-08,8753
2017-10-15,7937
2017-10-22,8370
2017-10-29,7697
2017-11-05,7384
2017-11-12,7095
2017-11-19,6895
2017-11-26,6635
2017-12-03,6488
2017-12-10,6175
2017-12-17,5880
2017-12-24,6144
2017-12-31,5807
2018-01-07,5301
2018-01-14,4909
2018-01-21,4569
2018-01-28,4591
2018-02-04,4294
2018-02-11,4797
2018-02-18,4856
2018-02-25,5122
2018-03-04,5398
2018-03-11,6088
2018-03-18,7489
2018-03-25,8474
2018-04-01,7775
2018-04-08,6930
2018-04-15,6868
2018-04-22,6695
2018-04-29,7541
2018-05-06,7141
2018-05-13,7043
2018-05-20,8563
2018-05-27,8200
2018-06-03,8799
2018-06-10,9267
2018-06-17,10508
2018-06-24,11067
2018-07-01,11933
2018-07-08,12963
2018-07-15,13171
2018-07-22,12808
2018-07-29,12031
2018-08-05,12004
2018-08-12,13221
2018-08-19,11711
2018-08-26,11448
2018-09-02,11311
2018-09-09,10695
2018-09-16,11660
2018-09-23,10419
2018-09-30,9160
2018-10-07,8069
2018-10-14,8614
2018-10-21,8394
2018-10-28,8152
2018-11-04,7640
2018-11-11,6982
2018-11-18,6673
2018-11-25,6375
2018-12-02,6231
2018-12-09,6191
2018-12-16,5784
2018-12-23,6021
2018-12-30,5879
2019-01-06,5387
2019-01-13,4688
2019-01-20,4578
2019-01-27,4353
2019-02-03,4329
2019-02-10,4567
2019-02-17,4630
2019-02-24,4828
2019-03-03,5202
2019-03-10,6073
2019-03-17,7510
2019-03-24,8291
2019-03-31,7969
2019-04-07,7226
2019-04-14,7474
2019-04-21,7971
2019-04-28,8361
2019-05-05,8068
2019-05-12,9377
2019-05-19,11263
2019-05-26,11282
2019-06-02,12249
2019-06-09,11486
2019-06-16,11866
2019-06-23,10488
2019-06-30,11220
2019-07-07,11344
2019-07-14,11940
2019-07-21,11314
2019-07-28,10787
2019-08-04,9882
2019-08-11,11035
2019-08-18,11434
2019-08-25,11715
2019-09-01,11408
2019-09-08,11367
2019-09-15,13214
2019-09-22,12872
2019-09-29,10085
2019-10-06,10113
2019-10-13,9013
2019-10-20,7799
2019-10-27,8156
2019-11-03,7177
2019-11-10,6061
2019-11-17,5657
2019-11-24,5400
2019-12-01,5439
2019-12-08,5725
2019-12-15,5750
2019-12-22,6138
2019-12-29,6241
2020-01-05,5864
2020-01-12,4907
2020-01-19,4798
2020-01-26,4663
2020-02-02,4553
2020-02-09,4721
